gRNA	cocktail	index	FoldChange	log2FC	eff	target
M271	cocktail_algorithm_6	M271_cocktail_algorithm_6	0.5545	0.852	1.805	cdca7b
M272	cocktail_algorithm_6	M272_cocktail_algorithm_6	1	-0.34	1	dcun1d3
M273	cocktail_algorithm_6	M273_cocktail_algorithm_6	1	-0.714	1	dnajc5ga
M279	cocktail_algorithm_3	M279_cocktail_algorithm_3	0.139	2.895	7.715	papolg
M280	cocktail_algorithm_3	M280_cocktail_algorithm_3	0.2175	2.25	4.92	peli2
M281	cocktail_algorithm_3	M281_cocktail_algorithm_3	0.9375	-0.058	1.07	ppp4r2b
M283	cocktail_algorithm_6	M283_cocktail_algorithm_6	1	-0.12345	1	rbbp5
M284	cocktail_algorithm_6	M284_cocktail_algorithm_6	0.612	0.7095	1.64	rbm25b
M285	cocktail_algorithm_6	M285_cocktail_algorithm_6	0.583	0.782	1.725	rnf128a
M291	cocktail_algorithm_3	M291_cocktail_algorithm_3	0.537	0.898	1.865	suz12a
M292	cocktail_algorithm_3	M292_cocktail_algorithm_3	0.1095	3.195	9.155	tarbp2
M293	cocktail_algorithm_3	M293_cocktail_algorithm_3	0.14	2.89	7.72	tatdn2
M295	cocktail_algorithm_6	M295_cocktail_algorithm_6	0.712	0.49	1.405	tlk2
M296	cocktail_algorithm_6	M296_cocktail_algorithm_6	0.2655	1.915	3.78	tspan31
M297	cocktail_algorithm_6	M297_cocktail_algorithm_6	0.11885	3.095	8.645	usp1
M303	cocktail_algorithm_3	M303_cocktail_algorithm_3	0.404	1.464	3.08	atxn2l
M304	cocktail_algorithm_3	M304_cocktail_algorithm_3	0.0534	4.225	18.75	bckdk
M305	cocktail_algorithm_3	M305_cocktail_algorithm_3	0.327	1.615	3.07	bzw1b
M307	cocktail_algorithm_6	M307_cocktail_algorithm_6	1	-0.514	1	calm2a
M308	cocktail_algorithm_6	M308_cocktail_algorithm_6	0.885	0.17835	1.135	chd8
M309	cocktail_algorithm_6	M309_cocktail_algorithm_6	0.8365	0.258	1.195	cstf2
M315	cocktail_algorithm_3	M315_cocktail_algorithm_3	0.484	1.0525	2.08	drap1
M316	cocktail_algorithm_3	M316_cocktail_algorithm_3	0.336	1.67	3.39	erf
M317	cocktail_algorithm_3	M317_cocktail_algorithm_3	0.4055	1.32	2.545	h2az2a
M319	cocktail_algorithm_6	M319_cocktail_algorithm_6	0.6625	0.594	1.51	ilf2
M320	cocktail_algorithm_6	M320_cocktail_algorithm_6	0.4555	1.1435	2.22	kdm3b
M321	cocktail_algorithm_6	M321_cocktail_algorithm_6	0.153	2.71	6.54	nfyc
M39	cocktail_algorithm_1	M39_cocktail_algorithm_1	0.3295	1.62	3.115	ppp4r2a
M40	cocktail_algorithm_1	M40_cocktail_algorithm_1	0.799	0.369585	1.335	abhd17c
M41	cocktail_algorithm_1	M41_cocktail_algorithm_1	0.47	1.1055	2.17	alg3
M42	cocktail_algorithm_1	M42_cocktail_algorithm_1	0.15315	2.81	7.545	ctdspl2a
M43	cocktail_algorithm_4	M43_cocktail_algorithm_4	0.3195	1.65	3.15	ctdspl3
M44	cocktail_algorithm_4	M44_cocktail_algorithm_4	0.55	0.863	1.815	dctpp1
M45	cocktail_algorithm_4	M45_cocktail_algorithm_4	0.419	1.26	2.4	emc6
M46	cocktail_algorithm_4	M46_cocktail_algorithm_4	0.193	2.375	5.195	golga7
M47	cocktail_algorithm_7	M47_cocktail_algorithm_7	1	-0.309	1	gtf3ab
M48	cocktail_algorithm_7	M48_cocktail_algorithm_7	0.8755	0.1925	1.145	hexim1
M49	cocktail_algorithm_7	M49_cocktail_algorithm_7	0.185	2.48	5.755	ilf3a
M50	cocktail_algorithm_7	M50_cocktail_algorithm_7	0.34	1.57	3.005	kdm2ab
M51	cocktail_algorithm_1	M51_cocktail_algorithm_1	0.383	1.385	2.615	lmnb1
M52	cocktail_algorithm_1	M52_cocktail_algorithm_1	0.7345	0.446	1.365	lsm14aa
M53	cocktail_algorithm_1	M53_cocktail_algorithm_1	0.4855	1.0485	2.08	mier1a
M55	cocktail_algorithm_4	M55_cocktail_algorithm_4	0.9295	0.10605	1.075	mycla
M56	cocktail_algorithm_4	M56_cocktail_algorithm_4	0.278	1.85	3.595	naa40
M57	cocktail_algorithm_4	M57_cocktail_algorithm_4	0.69	0.5385	1.455	nfyal
M59	cocktail_algorithm_7	M59_cocktail_algorithm_7	0.855	0.226	1.17	pabpn1l
M60	cocktail_algorithm_7	M60_cocktail_algorithm_7	0.881	0.18685	1.14	prrg4
M61	cocktail_algorithm_7	M61_cocktail_algorithm_7	0.644	0.641	1.565	pttg1
M63	cocktail_algorithm_1	M63_cocktail_algorithm_1	1	-0.7475	1	rpp25l
M64	cocktail_algorithm_1	M64_cocktail_algorithm_1	0.5545	0.9195	1.985	setdb1b
M65	cocktail_algorithm_1	M65_cocktail_algorithm_1	0.58	0.788	1.73	stk26
M67	cocktail_algorithm_4	M67_cocktail_algorithm_4	0.2885	1.795	3.475	syncripl
M68	cocktail_algorithm_4	M68_cocktail_algorithm_4	0.06765	3.95	16.15	tia1
M69	cocktail_algorithm_4	M69_cocktail_algorithm_4	1	-0.908	1	ube2al
M71	cocktail_algorithm_7	M71_cocktail_algorithm_7	0.291	1.84	3.715	zc3h18
M72	cocktail_algorithm_7	M72_cocktail_algorithm_7	0.7825	0.1335	1.385	znf367
M73	cocktail_algorithm_7	M73_cocktail_algorithm_7	0.734	0.448	1.365	znf395a
M75	cocktail_algorithm_1	M75_cocktail_algorithm_1	0.59	0.7675	1.71	ncbp2
M76	cocktail_algorithm_1	M76_cocktail_algorithm_1	1	-2.64	1	h2af1al
M77	cocktail_algorithm_1	M77_cocktail_algorithm_1	0.3725	1.485	2.92	aebp2
M79	cocktail_algorithm_4	M79_cocktail_algorithm_4	0.0502	4.32	20	cdca7b
M80	cocktail_algorithm_4	M80_cocktail_algorithm_4	0.935	0.0335	1.075	dcun1d3
M81	cocktail_algorithm_4	M81_cocktail_algorithm_4	0.624	0.6925	1.63	dnajc5ga
M83	cocktail_algorithm_7	M83_cocktail_algorithm_7	0.9145	0.134065	1.105	h1m
M84	cocktail_algorithm_7	M84_cocktail_algorithm_7	0.555	0.8705	1.865	hcfc1a
M85	cocktail_algorithm_7	M85_cocktail_algorithm_7	0.88	0.1845	1.135	kdm4ab
M87	cocktail_algorithm_1	M87_cocktail_algorithm_1	0.098	3.45	11.6	papolg
M88	cocktail_algorithm_1	M88_cocktail_algorithm_1	0.5075	1.196	2.665	peli2
M89	cocktail_algorithm_1	M89_cocktail_algorithm_1	0.2235	2.28	5.275	ppp4r2b
M91	cocktail_algorithm_4	M91_cocktail_algorithm_4	0.3135	1.67	3.19	rbbp5
M92	cocktail_algorithm_4	M92_cocktail_algorithm_4	0.05605	4.155	17.85	rbm25b
M93	cocktail_algorithm_4	M93_cocktail_algorithm_4	0.2235	2.175	4.56	rnf128a
M95	cocktail_algorithm_7	M95_cocktail_algorithm_7	0.6405	0.648	1.575	smarce1
M96	cocktail_algorithm_7	M96_cocktail_algorithm_7	0.844	0.252	1.195	smurf1
M97	cocktail_algorithm_7	M97_cocktail_algorithm_7	0.852	0.238	1.18	snupn
M99	cocktail_algorithm_1	M99_cocktail_algorithm_1	1	-0.3765	1	suz12a
